id,entPhysicalIndex,entPhysicalDescr,entPhysicalVendorType,entPhysicalContainedIn,entPhysicalClass,entPhysicalParentRelPos,entPhysicalName,entPhysicalHardwareRev,entPhysicalFirmwareRev,entPhysicalSoftwareRev,entPhysicalSerialNum,entPhysicalMfgName,entPhysicalModelName,entPhysicalAlias,entPhysicalAssetID,entPhysicalIsFRU,entPhysicalMfgDate,entPhysicalUris
103,103,LDS6523 v1.2,.0.0,10,sensor,85,LDS6523 v1.2,,,,,"Mercury Computer Systems, Inc.",,,,FALSE,,
104,104,LDS6523 v1.05,.0.0,10,sensor,86,LDS6523 v1.05,,,,,"Mercury Computer Systems, Inc.",,,,FALSE,,
105,105,LDS6523 v3.3M,.0.0,10,sensor,87,LDS6523 v3.3M,,,,,"Mercury Computer Systems, Inc.",,,,FALSE,,
106,106,LDS6523 vBATT,.0.0,10,sensor,88,LDS6523 vBATT,,,,,"Mercury Computer Systems, Inc.",,,,FALSE,,
107,107,LDS6523 i-12.0A,.0.0,10,sensor,89,LDS6523 i-12.0A,,,,,"Mercury Computer Systems, Inc.",,,,FALSE,,
108,108,LDS6523 v1.2A,.0.0,10,sensor,90,LDS6523 v1.2A,,,,,"Mercury Computer Systems, Inc.",,,,FALSE,,
109,109,LDS6523 v1.0A,.0.0,10,sensor,91,LDS6523 v1.0A,,,,,"Mercury Computer Systems, Inc.",,,,FALSE,,
110,110,LDS6523 v1.0,.0.0,10,sensor,92,LDS6523 v1.0,,,,,"Mercury Computer Systems, Inc.",,,,FALSE,,
111,111,LDS6523 v0.75,.0.0,10,sensor,93,LDS6523 v0.75,,,,,"Mercury Computer Systems, Inc.",,,,FALSE,,
112,112,LDS6523 v1.5A,.0.0,10,sensor,94,LDS6523 v1.5A,,,,,"Mercury Computer Systems, Inc.",,,,FALSE,,
113,113,LDS6523 IPMB,.0.0,11,sensor,95,LDS6523 IPMB,,,,,"Mercury Computer Systems, Inc.",,,,FALSE,,
114,114,LDS6523 Health,.0.0,11,sensor,96,LDS6523 Health,,,,,"Mercury Computer Systems, Inc.",,,,FALSE,,
115,115,LDS6523 VSO Volt,.0.0,11,sensor,97,LDS6523 VSO Volt,,,,,"Mercury Computer Systems, Inc.",,,,FALSE,,
116,116,LDS6523 VSO Temp,.0.0,11,sensor,98,LDS6523 VSO Temp,,,,,"Mercury Computer Systems, Inc.",,,,FALSE,,
117,117,LDS6523 PLT Res,.0.0,11,sensor,99,LDS6523 PLT Res,,,,,"Mercury Computer Systems, Inc.",,,,FALSE,,
118,118,LDS6523 PLT Sts,.0.0,11,sensor,100,LDS6523 PLT Sts,,,,,"Mercury Computer Systems, Inc.",,,,FALSE,,
119,119,LDS6523 ProcThrm,.0.0,11,sensor,101,LDS6523 ProcThrm,,,,,"Mercury Computer Systems, Inc.",,,,FALSE,,
120,120,LDS6523 tSec,.0.0,11,sensor,102,LDS6523 tSec,,,,,"Mercury Computer Systems, Inc.",,,,FALSE,,
121,121,LDS6523 tPri,.0.0,11,sensor,103,LDS6523 tPri,,,,,"Mercury Computer Systems, Inc.",,,,FALSE,,
122,122,LDS6523 tOut,.0.0,11,sensor,104,LDS6523 tOut,,,,,"Mercury Computer Systems, Inc.",,,,FALSE,,
123,123,LDS6523 tPFPGA,.0.0,11,sensor,105,LDS6523 tPFPGA,,,,,"Mercury Computer Systems, Inc.",,,,FALSE,,
124,124,LDS6523 tIn,.0.0,11,sensor,106,LDS6523 tIn,,,,,"Mercury Computer Systems, Inc.",,,,FALSE,,
125,125,LDS6523 tSwitchA,.0.0,11,sensor,107,LDS6523 tSwitchA,,,,,"Mercury Computer Systems, Inc.",,,,FALSE,,
126,126,LDS6523 tSwitchB,.0.0,11,sensor,108,LDS6523 tSwitchB,,,,,"Mercury Computer Systems, Inc.",,,,FALSE,,
127,127,LDS6523 tEth,.0.0,11,sensor,109,LDS6523 tEth,,,,,"Mercury Computer Systems, Inc.",,,,FALSE,,
128,128,LDS6523 FS-R,.0.0,9,sensor,110,LDS6523 FS-R,,,,,"Mercury Computer Systems, Inc.",,,,FALSE,,
129,129,LDS6523 FS-M1,.0.0,9,sensor,111,LDS6523 FS-M1,,,,,"Mercury Computer Systems, Inc.",,,,FALSE,,
130,130,LDS6523 FS-M2,.0.0,9,sensor,112,LDS6523 FS-M2,,,,,"Mercury Computer Systems, Inc.",,,,FALSE,,
131,131,LDS6523 v12.0BP,.0.0,11,sensor,113,LDS6523 v12.0BP,,,,,"Mercury Computer Systems, Inc.",,,,FALSE,,
132,132,LDS6523 v12.0,.0.0,11,sensor,114,LDS6523 v12.0,,,,,"Mercury Computer Systems, Inc.",,,,FALSE,,
133,133,LDS6523 i12.0,.0.0,11,sensor,115,LDS6523 i12.0,,,,,"Mercury Computer Systems, Inc.",,,,FALSE,,
134,134,LDS6523 v12.0A,.0.0,11,sensor,116,LDS6523 v12.0A,,,,,"Mercury Computer Systems, Inc.",,,,FALSE,,
135,135,LDS6523 v-12.0A,.0.0,11,sensor,117,LDS6523 v-12.0A,,,,,"Mercury Computer Systems, Inc.",,,,FALSE,,
136,136,LDS6523 v1.8A,.0.0,11,sensor,118,LDS6523 v1.8A,,,,,"Mercury Computer Systems, Inc.",,,,FALSE,,
137,137,LDS6523 vCR,.0.0,11,sensor,119,LDS6523 vCR,,,,,"Mercury Computer Systems, Inc.",,,,FALSE,,
138,138,LDS6523 vAXG,.0.0,11,sensor,120,LDS6523 vAXG,,,,,"Mercury Computer Systems, Inc.",,,,FALSE,,
139,139,LDS6523 vCCSA,.0.0,11,sensor,121,LDS6523 vCCSA,,,,,"Mercury Computer Systems, Inc.",,,,FALSE,,
140,140,LDS6523 v2.5,.0.0,11,sensor,122,LDS6523 v2.5,,,,,"Mercury Computer Systems, Inc.",,,,FALSE,,
141,141,LDS6523 v5.0,.0.0,11,sensor,123,LDS6523 v5.0,,,,,"Mercury Computer Systems, Inc.",,,,FALSE,,
142,142,LDS6523 i3.3A,.0.0,11,sensor,124,LDS6523 i3.3A,,,,,"Mercury Computer Systems, Inc.",,,,FALSE,,
